表040、青年勞工初次尋職時選擇工作主要考慮因素,,,,,,,,─按性別、年齡、教育程度、大專以上科系別分,,,,,,
,,,,,,中華民國,,九十五年七月,,,,,,單位：人，%
專業科學及技術服務業, 300 , 100.00 , 38.82 , 56.58 , 32.78 , 32.82 ,, 41.14 , 22.35 , 42.62 , 3.89 , 9.91 , 8.24 , 3.53 
教育服務業, 60 , 100.00 , 38.60 , 32.81 , 63.39 , 19.18 ,, 39.15 , 29.39 , 41.86 , 8.04 , 6.07 , 3.57 , 4.26 
醫療保健及社會福利服務業, 180 , 100.00 , 51.34 , 41.11 , 43.28 , 12.36 ,, 45.93 , 34.68 , 37.47 , 7.95 , 7.24 , 4.04 , 2.98 
文化運動及休閒服務業, 106 , 100.00 , 31.95 , 26.72 , 39.34 , 31.59 ,, 42.39 , 25.87 , 47.38 , 7.98 , 8.79 , 5.86 , 5.71 
其他服務業, 223 , 100.00 , 23.31 , 38.23 , 50.30 , 24.89 ,, 45.45 , 26.53 , 39.32 , 6.63 , 6.84 , 15.78 , 4.25 
公共行政業, 43 , 100.00 , 34.24 , 38.08 , 49.61 , 24.15 ,, 39.58 , 31.05 , 44.69 , 12.02 , 8.15 , 11.14 , 1.28 
  規          模,,,,,,,,,,,,,,
9人以下, 740 , 100.00 , 32.32 , 48.42 , 47.14 , 23.51 ,, 39.07 , 30.16 , 41.95 , 6.66 , 6.51 , 7.58 , 3.00 
10人～19人, 632 , 100.00 , 33.04 , 40.67 , 44.25 , 25.56 ,, 38.39 , 30.21 , 41.08 , 8.98 , 6.73 , 9.97 , 3.43 
20人～49人, 671 , 100.00 , 32.76 , 47.90 , 45.45 , 27.70 ,, 42.51 , 29.90 , 37.73 , 6.37 , 8.45 , 9.07 , 2.64 
50人～199人, 897 , 100.00 , 31.60 , 45.56 , 45.09 , 30.38 ,, 42.26 , 30.03 , 36.18 , 5.73 , 6.85 , 11.34 , 2.43 
200人～499人, 641 , 100.00 , 32.38 , 47.65 , 42.54 , 29.79 ,, 40.18 , 31.15 , 41.73 , 7.90 , 5.61 , 9.40 , 3.28 
500人以上," 1,387 ", 100.00 , 30.35 , 40.60 , 43.48 , 29.18 ,, 48.27 , 32.05 , 34.66 , 7.35 , 6.50 , 11.13 , 3.83 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
-54-,,,,,,,,-55-,,,,,,
表042、青年勞工初次尋職時選擇工作主要考慮因素,,,,,,,,─按工作年資、每月收入、職業別分,,,,,,
,,,,,,中華民國,,九十五年七月,,,,,,單位：人，%
項    目    別,加  權  後        樣  本  數,合    計,能學以致用的工作,能學習到知識技能,工作穩定性,有發展前景,,待遇高,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
總                                 計," 4,968 ", 100.00 , 31.80 , 44.56 , 44.56 , 27.97 ,, 42.74 , 30.76 , 38.16 , 7.10 , 6.74 , 9.99 , 3.17 
  工 作 年 資,,,,,,,,,,,,,,
3年以下," 2,769 ", 100.00 , 33.27 , 45.13 , 41.08 , 29.90 ,, 44.09 , 29.38 , 39.45 , 6.73 , 6.22 , 10.36 , 2.97 
3～5年," 1,523 ", 100.00 , 29.75 , 44.20 , 46.15 , 27.20 ,, 40.94 , 31.38 , 39.20 , 7.05 , 7.91 , 9.20 , 3.27 
6～10年, 620 , 100.00 , 29.87 , 42.40 , 55.32 , 21.95 ,, 42.24 , 33.98 , 31.52 , 8.16 , 6.18 , 10.73 , 4.08 
10年以上, 56 , 100.00 , 36.23 , 50.40 , 53.93 , 20.00 ,, 30.17 , 46.62 , 20.01 , 14.78 , 7.36 , 4.84 , - 
  每 月 收 入    ,,,,,,,,,,,,,,
"未滿15,840元", 222 , 100.00 , 24.35 , 38.40 , 43.15 , 17.49 ,, 36.50 , 32.37 , 34.70 , 11.53 , 11.03 , 6.85 , 4.77 
"15,840元 ~未滿2萬元", 356 , 100.00 , 28.18 , 33.83 , 49.32 , 21.77 ,, 38.61 , 37.86 , 40.99 , 10.88 , 7.18 , 7.30 , 2.84 
2萬~未滿2萬5千元, 923 , 100.00 , 29.18 , 42.47 , 50.57 , 22.07 ,, 42.49 , 34.98 , 36.89 , 12.32 , 5.03 , 9.02 , 3.24 
2萬5千~未滿3萬元," 1,134 ", 100.00 , 30.47 , 47.16 , 47.59 , 26.40 ,, 39.31 , 32.36 , 40.47 , 5.59 , 5.11 , 10.15 , 2.96 
3萬~未滿3萬5千元," 1,089 ", 100.00 , 30.85 , 45.96 , 42.18 , 30.31 ,, 44.17 , 30.34 , 36.80 , 6.27 , 6.63 , 12.56 , 3.76 
3萬5千~未滿4萬元, 538 , 100.00 , 38.14 , 46.84 , 40.87 , 32.88 ,, 46.03 , 26.09 , 38.07 , 4.00 , 6.87 , 8.70 , 2.32 
4萬~未滿4萬5千元, 378 , 100.00 , 40.30 , 42.10 , 40.59 , 34.97 ,, 46.07 , 24.37 , 39.57 , 1.87 , 11.34 , 9.40 , 3.72 
4萬5千~未滿5萬元, 147 , 100.00 , 34.83 , 52.87 , 33.08 , 39.52 ,, 50.24 , 22.87 , 30.59 , 5.23 , 8.09 , 10.92 , 2.55 
5萬元以上, 181 , 100.00 , 36.48 , 50.97 , 30.15 , 40.28 ,, 49.71 , 19.50 , 40.69 , 3.74 , 9.21 , 11.87 , 1.13 
  職          業    ,,,,,,,,,,,,,,
企業主管及經理人員, 75 , 100.00 , 22.05 , 42.33 , 36.77 , 45.80 ,, 43.13 , 20.34 , 39.09 , 5.83 , 11.90 , 17.24 , 5.12 
專業人員, 863 , 100.00 , 44.23 , 50.90 , 31.13 , 36.07 ,, 42.85 , 23.50 , 44.21 , 2.59 , 8.95 , 7.15 , 1.61 
技術員及助理專業人員," 1,523 ", 100.00 , 30.59 , 44.90 , 44.68 , 31.35 ,, 44.83 , 30.14 , 36.86 , 5.62 , 6.15 , 12.36 , 3.48 
事務工作人員," 1,107 ", 100.00 , 31.17 , 47.10 , 52.17 , 23.63 ,, 38.17 , 37.36 , 33.11 , 8.67 , 4.53 , 8.97 , 3.06 
服務工作人員及售貨員, 638 , 100.00 , 28.48 , 36.76 , 43.17 , 23.38 ,, 41.17 , 29.27 , 44.49 , 9.14 , 7.93 , 10.65 , 3.17 
農林漁牧工作人員, 13 , 100.00 , 36.22 , 36.87 , 49.02 , 12.67 ,, 25.64 , 28.07 , 59.66 , 3.46 , 20.67 , 0.45 , 10.52 
技術工及有關工作人員, 267 , 100.00 , 25.03 , 41.97 , 49.50 , 23.21 ,, 47.59 , 30.42 , 36.31 , 10.39 , 8.19 , 5.50 , 3.77 
機械設備操作及組裝工, 268 , 100.00 , 22.52 , 41.20 , 50.33 , 22.80 ,, 49.97 , 32.44 , 33.74 , 10.87 , 5.01 , 14.42 , 4.14 
非技術工及體力工, 214 , 100.00 , 26.68 , 35.47 , 51.68 , 14.50 ,, 41.45 , 36.99 , 36.57 , 13.50 , 7.68 , 5.91 , 4.74 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
-56-,,,,,,,,-57-,,,,,,
