表17 青年勞工離開,,,,,,,,,,第一份工作的原因,,,,,,,,,,,
 中華民國 ,,,,,,,,,, 105年 10月 ,,,,,,,,,,,單位：人，％，月
項目別,樣本數,合計,目前工作為第一份工作,不是第一份工作， ,,,,,,離開的原因,,,,,,,,,,,"第一份
工作
年資"
專科, 200 , 100.00 , 38.10 , 61.90 , 17.27 , 19.22 , 4.79 , 9.11 ,, 15.33 , 12.42 , 2.51 , 2.54 , 7.59 , 3.06 , 2.43 , 1.40 , 6.61 , 4.37 , 14.83 , 20.47 
大學," 2,599 ", 100.00 , 41.01 , 58.99 , 20.96 , 21.67 , 10.76 , 10.50 ,, 19.18 , 8.92 , 2.75 , 4.44 , 10.32 , 6.00 , 0.66 , 1.43 , 2.56 , 2.25 , 14.73 , 19.89 
碩士及以上, 380 , 100.00 , 65.19 , 34.81 , 10.48 , 16.29 , 5.87 , 5.55 ,, 7.37 , 7.17 , 1.87 , 3.45 , 4.60 , 2.82 , 0.64 , 1.14 , 1.94 , 1.72 , 13.92 , 18.61 
專科以上科系,,,,,,,,,,,,,,,,,,,,,
人文, 669 , 100.00 , 39.54 , 60.46 , 20.63 , 24.06 , 10.68 , 9.41 ,, 17.32 , 12.73 , 3.30 , 2.48 , 10.47 , 6.27 , 1.02 , 2.63 , 4.10 , 2.38 , 14.52 , 18.60 
社會," 1,329 ", 100.00 , 40.42 , 59.58 , 21.17 , 21.45 , 9.91 , 9.36 ,, 19.28 , 9.00 , 2.10 , 5.15 , 10.17 , 4.82 , 0.76 , 1.31 , 2.36 , 2.19 , 14.82 , 19.60 
科技," 1,240 ", 100.00 , 48.99 , 51.01 , 17.44 , 18.94 , 9.08 , 10.89 ,, 15.37 , 7.28 , 2.77 , 4.40 , 8.02 , 5.41 , 0.86 , 1.04 , 2.93 , 2.59 , 14.42 , 20.50 
說明1：離開原因可複選。,,,,,,,,,,,,,,,,,,,,,
說明2：專科以上科系可複選。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
工作地區,,,,,,,,,,,,,,,,,,,,,
