表17 青年勞工離開,,,,,,,,,,第一份工作的原因,,,,,,,,,,,
 中華民國 ,,,,,,,,,, 103年 10月 ,,,,,,,,,,,單位：人，％，月
項目別,樣本數,合計,目前工作為第一份工作,不是第一份工作， ,,,,,,離開的原因,,,,,,,,,,,"第一份
工作
年資"
專科, 203 , 100.00 , 29.55 , 70.45 , 22.04 , 17.65 , 8.57 , 10.79 ,, 23.59 , 6.93 , 3.77 , 5.37 , 9.48 , 10.10 , 0.04 , 1.88 , 5.88 , 4.35 , 19.08 , 23.76 
大學," 2,448 ", 100.00 , 43.79 , 56.21 , 20.43 , 20.49 , 8.48 , 9.79 ,, 17.38 , 7.73 , 3.20 , 3.62 , 10.09 , 5.67 , 1.26 , 1.84 , 2.33 , 4.60 , 15.80 , 20.51 
碩士及以上, 313 , 100.00 , 58.76 , 41.24 , 10.91 , 13.78 , 9.09 , 6.62 ,, 10.90 , 8.86 , 2.79 , 2.02 , 6.82 , 2.42 , 0.75 , 1.17 , 1.96 , 3.96 , 14.54 , 18.68 
專科以上科系,,,,,,,,,,,,,,,,,,,,,
人文, 502 , 100.00 , 37.53 , 62.47 , 22.16 , 21.78 , 12.05 , 12.64 ,, 19.10 , 10.80 , 3.01 , 3.68 , 12.10 , 5.54 , 1.19 , 1.81 , 1.99 , 4.84 , 14.41 , 17.19 
社會," 1,276 ", 100.00 , 43.60 , 56.40 , 18.68 , 20.77 , 8.06 , 9.74 ,, 16.20 , 8.28 , 4.34 , 4.69 , 9.69 , 5.81 , 0.74 , 1.31 , 2.79 , 4.29 , 16.77 , 20.66 
科技," 1,216 ", 100.00 , 47.74 , 52.26 , 19.53 , 17.96 , 8.02 , 8.51 ,, 17.20 , 6.69 , 2.10 , 2.54 , 9.08 , 5.51 , 1.41 , 2.14 , 2.48 , 4.49 , 15.88 , 21.60 
說明1：離開原因可複選，故細項加總大於等於合計欄。,,,,,,,,,,,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
工作地區,,,,,,,,,,,,,,,,,,,,,
