表16  、青年勞工每週工作時數─按性別、年齡、教育程度別分,,,,,,,,,
,,,中華民國,97年10月,,,,,單位：人，%，天，小時
  批發及零售業," 1,154 ", 100.00 , 12.85 , 41.68 , 0.18 , 3.65 , 41.64 , 5.27 , 8.18 
  住宿及餐飲業, 293 , 100.00 , 31.98 , 14.98 , 0.38 , 4.48 , 48.18 , 5.33 , 7.63 
  運輸、倉儲及通信業, 115 , 100.00 , 10.92 , 56.84 , 0.74 , 3.49 , 28.01 , 5.10 , 8.45 
  金融及保險業, 176 , 100.00 , 5.62 , 56.23 , - , 2.67 , 35.48 , 5.02 , 8.61 
  不動產及租賃業, 51 , 100.00 , 13.33 , 42.66 , - , 1.89 , 42.12 , 5.26 , 8.27 
  專業科學及技術服務業, 244 , 100.00 , 5.46 , 59.08 , - , 3.54 , 31.92 , 5.10 , 8.30 
  教育服務業, 32 , 100.00 , 10.41 , 68.20 , - , 0.80 , 20.59 , 5.06 , 8.07 
  醫療保健及社會福利服務業, 138 , 100.00 , 8.10 , 47.68 , - , 5.71 , 38.50 , 5.14 , 8.20 
  文化運動及休閒服務業, 82 , 100.00 , 22.36 , 36.66 , - , 5.31 , 35.67 , 5.05 , 8.27 
  其他服務業, 212 , 100.00 , 11.88 , 47.02 , - , 0.26 , 40.84 , 5.31 , 8.46 
  公共行政業, 37 , 100.00 , - , 90.21 , - , - , 9.79 , 5.03 , 8.10 
  規模別,,,,,,,,,
  29人以下," 1,388 ", 100.00 , 9.09 , 37.66 , - , 3.82 , 49.43 , 5.38 , 8.26 
  30人～49人, 304 , 100.00 , 8.53 , 46.64 , 0.05 , 5.03 , 39.75 , 5.24 , 8.20 
  50人～199人, 678 , 100.00 , 8.69 , 51.02 , 0.42 , 7.32 , 32.55 , 5.18 , 8.15 
  200人～499人, 434 , 100.00 , 11.32 , 56.90 , 0.52 , 6.94 , 24.32 , 5.12 , 8.09 
  500人以上," 1,208 ", 100.00 , 10.27 , 52.67 , - , 5.83 , 31.23 , 5.05 , 8.37 
,,,,,,,,,
,,,,,,,,,
"表18  、青年勞工每週工作時數─按職業、工作性質、工作年資、
每月工作收入別分",,,,,,,,,
,,,中華民國,97年10月,,,,,單位：人，%，天，小時
項    目    別,樣 本 數,合    計,"未滿
40小時","40小時~
未滿
41小時","41小時~
未滿
42小時","42小時~
未滿
44小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,
,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 9.58 , 47.20 , 0.13 , 5.45 , 37.65 , 5.21 , 8.25 
  職業別,,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 7.98 , 25.56 , - , 6.95 , 59.50 , 5.35 , 8.70 
  專業人員, 548 , 100.00 , 3.92 , 52.86 , - , 6.51 , 36.70 , 5.09 , 8.47 
  技術員及助理專業人員, 862 , 100.00 , 4.67 , 53.92 , 0.10 , 6.10 , 35.20 , 5.16 , 8.38 
  事務工作人員," 1,072 ", 100.00 , 5.18 , 60.79 , - , 5.99 , 28.04 , 5.14 , 8.18 
  服務工作人員及售貨員, 858 , 100.00 , 25.57 , 24.20 , 0.37 , 3.10 , 46.76 , 5.30 , 8.06 
  農林漁牧工作人員, 7 , 100.00 , 17.83 , 34.15 , 0.85 , 1.98 , 45.18 , 5.45 , 8.58 
  技術工及有關工作人員, 226 , 100.00 , 7.26 , 43.12 , - , 6.90 , 42.72 , 5.33 , 8.21 
  機械設備操作及組裝工, 244 , 100.00 , 4.36 , 45.99 , 0.48 , 5.89 , 43.28 , 5.32 , 8.25 
  非技術工及體力工, 133 , 100.00 , 10.70 , 39.08 , - , 3.84 , 46.38 , 5.39 , 8.14 
  工作型態,,,,,,,,,
  全日工作," 3,571 ", 100.00 , 3.63 , 50.78 , 0.12 , 5.86 , 39.62 , 5.25 , 8.40 
  部分工時工作, 441 , 100.00 , 57.79 , 18.19 , 0.19 , 2.13 , 21.71 , 4.87 , 7.08 
  僱用類型,,,,,,,,,
  一般員工," 3,833 ", 100.00 , 9.38 , 47.14 , 0.14 , 5.54 , 37.80 , 5.21 , 8.26 
  派遣員工, 179 , 100.00 , 13.75 , 48.39 , - , 3.48 , 34.38 , 5.13 , 8.01 
  工作年資別,,,,,,,,,
  未滿1年, 247 , 100.00 , 18.18 , 50.46 , - , 4.89 , 26.47 , 5.08 , 7.97 
  1~未滿3年," 1,340 ", 100.00 , 14.01 , 47.67 , 0.14 , 5.84 , 32.34 , 5.13 , 8.13 
  3~未滿6年," 1,448 ", 100.00 , 7.48 , 47.52 , 0.16 , 5.49 , 39.35 , 5.22 , 8.30 
  6~未滿10年, 766 , 100.00 , 4.39 , 47.92 , 0.14 , 4.35 , 43.20 , 5.30 , 8.42 
  10年及以上, 211 , 100.00 , 4.54 , 35.51 , - , 7.34 , 52.61 , 5.42 , 8.41 
  每月工作收入別  ,,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 59.76 , 21.59 , 0.25 , 2.21 , 16.19 , 4.89 , 6.86 
"  17,280 ~未滿2萬元", 309 , 100.00 , 16.94 , 39.63 , - , 2.42 , 41.01 , 5.23 , 7.93 
  2萬~未滿2萬5千元, 792 , 100.00 , 5.43 , 45.52 , 0.12 , 5.07 , 43.86 , 5.33 , 8.25 
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 4.05 , 51.43 , 0.14 , 6.67 , 37.71 , 5.22 , 8.38 
  3萬~未滿3萬元5千元, 785 , 100.00 , 4.15 , 54.73 , 0.26 , 4.51 , 36.35 , 5.21 , 8.41 
  3萬5千元~未滿4萬元, 357 , 100.00 , 1.14 , 53.04 , - , 8.05 , 37.77 , 5.17 , 8.60 
  4萬~未滿4萬5千元, 204 , 100.00 , 0.55 , 53.27 , - , 8.68 , 37.49 , 5.13 , 8.67 
  4萬5千元~未滿5萬元, 100 , 100.00 , 3.60 , 50.27 , - , 5.51 , 40.61 , 5.21 , 8.44 
  5萬元以上, 107 , 100.00 , 4.46 , 32.44 , - , 7.50 , 55.60 , 5.26 , 8.99 
