"表09 青年勞工每週
",,,,,,,"工作時數
製造業, 985 , 100.00 , 1.78 , 0.88 , 0.32 ,, 57.66 , 0.82 , 7.99 , 30.54 , 5.11 , 8.32 
電力及燃氣供應業, 106 , 100.00 , - , - , 1.76 ,, 76.27 , - , 1.68 , 20.29 , 5.16 , 8.12 
用水供應及污染整治業, 95 , 100.00 , 4.12 , 1.52 , - ,, 68.36 , - , 5.67 , 20.34 , 5.12 , 7.98 
營造業, 119 , 100.00 , 0.93 , - , 0.74 ,, 59.33 , - , 1.60 , 37.39 , 5.29 , 8.18 
服務業," 2,651 ", 100.00 , 5.67 , 2.90 , 2.17 ,, 49.62 , 0.33 , 3.63 , 35.68 , 5.20 , 8.14 
批發及零售業, 771 , 100.00 , 5.75 , 4.07 , 2.11 ,, 43.25 , 0.33 , 5.17 , 39.31 , 5.26 , 8.16 
運輸及倉儲業, 126 , 100.00 , 2.55 , 0.75 , 1.45 ,, 60.84 , - , 5.20 , 29.21 , 5.15 , 8.40 
住宿及餐飲業, 184 , 100.00 , 13.79 , 5.35 , 3.76 ,, 27.05 , 0.59 , 2.29 , 47.16 , 5.20 , 7.88 
資訊及通訊傳播業, 163 , 100.00 , 8.39 , 2.81 , 0.24 ,, 65.79 , - , 3.16 , 19.61 , 4.98 , 8.05 
金融及保險業, 204 , 100.00 , 0.38 , - , 0.61 ,, 68.86 , 0.87 , 0.69 , 28.59 , 5.07 , 8.39 
不動產業, 99 , 100.00 , 2.35 , 1.94 , 2.64 ,, 35.88 , 0.59 , 4.50 , 52.10 , 5.36 , 8.52 
專業、科學及技術服務業, 212 , 100.00 , 0.54 , 0.60 , 1.59 ,, 75.31 , 0.53 , - , 21.44 , 5.10 , 8.21 
支援服務業, 150 , 100.00 , 3.58 , 1.89 , 2.56 ,, 65.65 , - , 3.20 , 23.12 , 5.06 , 8.25 
公共行政及國防;強制性社會安全, 145 , 100.00 , - , - , 0.61 ,, 92.44 , - , 1.77 , 5.18 , 5.06 , 8.06 
教育服務業, 153 , 100.00 , 4.01 , - , - ,, 59.48 , 0.80 , 4.90 , 30.81 , 5.12 , 8.24 
醫療保健及社會工作服務業, 258 , 100.00 , 3.52 , 1.65 , 2.47 ,, 47.53 , - , 3.36 , 41.48 , 5.27 , 8.13 
藝術、娛樂及休閒服務業, 71 , 100.00 , 10.13 , 3.63 , 5.97 ,, 41.00 , - , 2.61 , 36.64 , 5.29 , 7.74 
其他服務業, 115 , 100.00 , 4.25 , 0.69 , 2.97 ,, 48.22 , 0.18 , 4.08 , 39.61 , 5.35 , 8.15 
職業,,,,,,,,,,,,
民意代表、主管及經理人員, 35 , 100.00 , - , 1.74 , - ,, 45.91 , - , - , 52.35 , 5.40 , 8.78 
專業人員, 664 , 100.00 , 1.40 , 0.70 , 0.90 ,, 56.94 , 1.12 , 6.37 , 32.57 , 5.12 , 8.34 
技術員及助理專業人員, 879 , 100.00 , 0.22 , 0.44 , 0.37 ,, 60.72 , 0.67 , 6.09 , 31.50 , 5.13 , 8.44 
事務支援人員," 1,170 ", 100.00 , 2.36 , 0.33 , 1.99 ,, 68.72 , 0.19 , 3.92 , 22.49 , 5.14 , 8.07 
服務及銷售工作人員, 659 , 100.00 , 12.08 , 6.00 , 3.67 ,, 27.60 , 0.46 , 4.01 , 46.19 , 5.25 , 8.05 
農林漁牧業生產人員, 25 , 100.00 , - , 4.33 , - ,, 63.36 , - , 4.83 , 27.48 , 5.43 , 7.80 
技藝有關工作人員, 176 , 100.00 , 1.92 , 2.20 , 0.93 ,, 49.98 , - , 6.44 , 38.53 , 5.29 , 8.13 
機械設備操作及組裝人員, 205 , 100.00 , - , 2.43 , 0.60 ,, 50.55 , - , 3.63 , 42.79 , 5.30 , 8.36 
基層技術工及勞力工, 251 , 100.00 , 11.95 , 5.19 , 0.23 ,, 44.49 , - , 3.76 , 34.38 , 5.09 , 7.83 
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,
"表09 青年勞工每週
",,,,,,,"工作時數（續完）
",,,,,
,,,,, 中華民國 ,, 101年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30小時~未滿
35小時","35小時~未滿
40小時",,40小時~未滿41小時,41小時~未滿42小時,42小時~未滿44小時,44小時及以上,平均每週工作天數,平均每日工作時數
,,,,,,,,,,,,
總計," 4,064 ", 100.00 , 4.35 , 2.20 , 1.56 ,, 52.41 , 0.47 , 4.87 , 34.14 , 5.17 , 8.20 
工作地區,,,,,,,,,,,,
北部地區," 1,748 ", 100.00 , 4.35 , 2.71 , 1.45 ,, 54.86 , 0.68 , 5.62 , 30.33 , 5.10 , 8.24 
中部地區," 1,041 ", 100.00 , 4.06 , 1.70 , 1.49 ,, 49.64 , 0.22 , 4.73 , 38.16 , 5.26 , 8.15 
南部地區, 938 , 100.00 , 4.54 , 1.16 , 1.90 ,, 48.59 , 0.09 , 2.72 , 41.00 , 5.30 , 8.14 
東部地區, 337 , 100.00 , 6.69 , 2.73 , 3.13 ,, 42.49 , 0.34 , 4.84 , 39.78 , 5.35 , 7.93 
規模,,,,,,,,,,,,
29人以下," 1,297 ", 100.00 , 3.83 , 2.40 , 2.16 ,, 44.15 , 0.16 , 4.28 , 43.01 , 5.31 , 8.17 
30-49人, 529 , 100.00 , 3.76 , 1.27 , 1.41 ,, 52.91 , - , 3.23 , 37.42 , 5.21 , 8.19 
50-199人, 861 , 100.00 , 5.44 , 2.32 , 1.40 ,, 55.95 , 0.59 , 4.49 , 29.81 , 5.13 , 8.12 
200-499人, 586 , 100.00 , 2.52 , 2.76 , 2.23 ,, 59.68 , 0.91 , 4.99 , 26.93 , 5.15 , 8.09 
500人以上, 791 , 100.00 , 5.17 , 1.92 , 0.71 ,, 57.85 , 0.73 , 6.23 , 27.39 , 5.03 , 8.32 
總工作年資,,,,,,,,,,,,
未滿1年, 467 , 100.00 , 9.76 , 4.77 , 2.57 ,, 49.58 , - , 4.50 , 28.83 , 5.06 , 7.96 
1年-未滿3年," 1,282 ", 100.00 , 6.60 , 1.67 , 1.89 ,, 54.00 , 0.88 , 5.80 , 29.15 , 5.15 , 8.06 
3年-未滿6年," 1,366 ", 100.00 , 0.98 , 2.35 , 1.21 ,, 54.55 , 0.45 , 4.64 , 35.82 , 5.18 , 8.35 
6年-未滿10年, 773 , 100.00 , 0.77 , 0.70 , 0.62 ,, 51.11 , - , 3.85 , 42.96 , 5.29 , 8.40 
10年及以上, 176 , 100.00 , - , 1.14 , 0.65 ,, 36.81 , 0.62 , 3.39 , 57.38 , 5.44 , 8.51 
每月收入,,,,,,,,,,,,
"未滿18,780元", 184 , 100.00 , 50.76 , 18.89 , 4.90 ,, 18.83 , - , 1.49 , 5.13 , 4.51 , 6.41 
"18,780元-未滿2萬元", 294 , 100.00 , 0.27 , 2.78 , 3.57 ,, 56.03 , 0.75 , 6.13 , 30.48 , 5.28 , 8.03 
2萬-未滿2.5萬元, 960 , 100.00 , 0.51 , 1.31 , 2.47 ,, 49.16 , 0.33 , 4.65 , 41.57 , 5.29 , 8.28 
2.5萬-未滿3萬元," 1,045 ", 100.00 , 0.70 , 0.26 , 0.66 ,, 56.29 , 0.24 , 4.80 , 37.05 , 5.23 , 8.33 
3萬-未滿3.5萬元, 831 , 100.00 , 0.05 , 0.09 , 0.66 ,, 59.36 , 0.50 , 4.74 , 34.60 , 5.20 , 8.44 
3.5萬-未滿4萬元, 338 , 100.00 , - , 0.79 , - ,, 60.69 , 0.27 , 5.35 , 32.90 , 5.19 , 8.41 
4萬-未滿4.5萬元, 219 , 100.00 , - , 0.64 , 0.54 ,, 60.78 , 0.86 , 4.84 , 32.34 , 5.17 , 8.37 
4.5萬-未滿5萬元, 71 , 100.00 , - , - , - ,, 55.92 , - , 10.32 , 33.75 , 5.18 , 8.67 
5萬元以上, 122 , 100.00 , - , 0.83 , 0.98 ,, 45.12 , 3.91 , 8.90 , 40.26 , 5.12 , 8.87 
勞工工作型態,,,,,,,,,,,,
全日工時," 3,665 ", 100.00 , - , - , - ,, 57.17 , 0.52 , 5.20 , 37.11 , 5.24 , 8.39 
部份工時, 399 , 100.00 , 31.24 , 15.81 , 11.23 ,, 22.96 , 0.12 , 2.81 , 15.81 , 4.76 , 7.02 
勞動契約性質,,,,,,,,,,,,
定期勞動契約, 754 , 100.00 , 7.44 , 4.24 , 2.69 ,, 53.93 , 0.60 , 3.62 , 27.48 , 5.10 , 8.03 
不定期勞動契約," 3,265 ", 100.00 , 3.79 , 1.81 , 1.36 ,, 52.08 , 0.45 , 5.11 , 35.41 , 5.19 , 8.23 
未約定, 45 , 100.00 , - , 1.11 , - ,, 54.42 , - , 5.40 , 39.07 , 5.30 , 8.35 
勞工工作性質,,,,,,,,,,,,
一般僱用," 3,923 ", 100.00 , 4.33 , 2.19 , 1.60 ,, 51.95 , 0.48 , 4.95 , 34.49 , 5.17 , 8.20 
承攬, 39 , 100.00 , 1.59 , 3.07 , 2.36 ,, 55.37 , - , 0.49 , 37.11 , 5.33 , 8.09 
派遣人力, 102 , 100.00 , 5.71 , 2.22 , 0.11 ,, 67.86 , - , 3.08 , 21.03 , 5.14 , 7.98 
