表34、青年勞工初次尋職遭遇到困難情形,,,,,,,─按性別、年齡、教育程度、工作年資別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%
  工作地區別,,,,,,,,,,,,,
  台北市 ," 1,182 ", 100.00 , 43.23 , 9.66 , 16.89 ,, 11.95 , 24.30 , 14.61 , 18.08 , 10.65 , 1.54 , 56.77 
  高雄市  , 229 , 100.00 , 59.23 , 17.09 , 21.85 ,, 15.01 , 29.62 , 23.31 , 28.21 , 22.10 , 2.10 , 40.77 
  北    區," 1,287 ", 100.00 , 46.54 , 9.18 , 18.17 ,, 11.26 , 27.39 , 20.24 , 22.40 , 11.10 , 1.20 , 53.46 
  中    區, 771 , 100.00 , 48.08 , 8.90 , 14.23 ,, 11.95 , 27.25 , 19.06 , 23.08 , 10.12 , 1.80 , 51.92 
  南    區, 508 , 100.00 , 48.65 , 10.11 , 15.64 ,, 10.86 , 24.98 , 20.81 , 24.46 , 10.25 , 2.27 , 51.35 
  東    區, 35 , 100.00 , 50.97 , 16.75 , 15.04 ,, 10.62 , 24.90 , 21.58 , 22.05 , 17.61 , 2.27 , 49.03 
  行業別,,,,,,,,,,,,,
  農林漁牧業, 3 , 100.00 , 40.05 , 6.94 , 14.83 ,, 7.89 , 27.22 , 20.92 , 8.31 , 9.19 , 2.08 , 59.95 
  礦業及土石採取業, 1 , 100.00 , 57.75 , 1.85 , 8.78 ,, 2.55 , 24.94 , 30.34 , 22.36 , 15.91 , 1.91 , 42.25 
  製造業," 1,334 ", 100.00 , 50.53 , 8.96 , 17.31 ,, 13.15 , 28.74 , 22.71 , 25.26 , 11.62 , 1.63 , 49.47 
  水電燃氣業 , 5 , 100.00 , 58.95 , 9.22 , 20.99 ,, 20.61 , 28.73 , 34.23 , 21.03 , 12.99 , 1.87 , 41.05 
  營造業, 135 , 100.00 , 49.78 , 14.24 , 19.83 ,, 10.97 , 29.13 , 23.46 , 21.95 , 13.02 , 2.88 , 50.22 
  批發及零售業," 1,154 ", 100.00 , 43.78 , 9.74 , 16.15 ,, 11.04 , 26.00 , 15.47 , 19.69 , 10.53 , 1.58 , 56.22 
  住宿及餐飲業, 293 , 100.00 , 43.18 , 9.35 , 14.84 ,, 8.06 , 21.07 , 15.16 , 24.51 , 6.91 , 0.91 , 56.82 
  運輸、倉儲及通信業, 115 , 100.00 , 56.19 , 9.87 , 19.02 ,, 14.66 , 35.11 , 24.45 , 29.08 , 15.13 , 2.76 , 43.81 
  金融及保險業, 176 , 100.00 , 45.20 , 11.34 , 18.27 ,, 13.34 , 27.12 , 12.72 , 14.88 , 10.56 , 0.28 , 54.80 
  不動產及租賃業, 51 , 100.00 , 42.40 , 8.65 , 8.92 ,, 6.95 , 21.14 , 12.07 , 22.34 , 9.33 , 0.59 , 57.60 
  專業科學及技術服務業, 244 , 100.00 , 43.61 , 10.07 , 19.39 ,, 13.89 , 21.66 , 19.86 , 19.39 , 11.81 , 1.16 , 56.39 
  教育服務業, 32 , 100.00 , 60.51 , 15.20 , 16.44 ,, 19.26 , 29.88 , 20.21 , 22.34 , 23.00 , 3.17 , 39.49 
  醫療保健及社會福利服務業, 138 , 100.00 , 45.10 , 13.15 , 24.04 ,, 6.40 , 11.12 , 10.67 , 16.76 , 13.40 , 1.45 , 54.90 
  文化運動及休閒服務業, 82 , 100.00 , 38.73 , 9.04 , 8.34 ,, 10.69 , 25.26 , 13.22 , 17.19 , 15.15 , - , 61.27 
  其他服務業, 212 , 100.00 , 47.14 , 10.14 , 15.01 ,, 9.93 , 27.37 , 20.13 , 18.99 , 11.63 , 3.57 , 52.86 
  公共行政業, 37 , 100.00 , 48.32 , 15.85 , 16.09 ,, 17.41 , 29.34 , 18.10 , 17.04 , 19.99 , 1.47 , 51.68 
  規模別,,,,,,,,,,,,,
  29人以下," 1,388 ", 100.00 , 41.38 , 9.04 , 13.24 ,, 8.64 , 23.48 , 17.13 , 19.84 , 9.58 , 2.02 , 58.62 
  30人～49人, 304 , 100.00 , 47.17 , 10.04 , 16.39 ,, 9.34 , 27.64 , 18.83 , 24.13 , 12.17 , 0.84 , 52.83 
  50人～199人, 678 , 100.00 , 50.17 , 12.61 , 16.48 ,, 13.04 , 27.46 , 18.78 , 23.59 , 13.21 , 2.27 , 49.83 
  200人～499人, 434 , 100.00 , 50.32 , 9.57 , 18.70 ,, 13.55 , 27.82 , 21.77 , 25.25 , 14.06 , 0.98 , 49.68 
  500人以上," 1,208 ", 100.00 , 50.09 , 9.46 , 20.82 ,, 14.58 , 27.86 , 19.03 , 21.37 , 11.17 , 1.18 , 49.91 
說明：遇到困難可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,
,,,,,,,,,,,,,
表42、青年勞工初次尋職遭遇到困難情形,,,,,,,─按職業、工作性質、工作年資、每月收入別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%
項    目    別,樣 本 數,合    計,有遇到困難，遇到的困難為,,,,,,,,,,沒有遇到困難
,,,計,"求職管道
不足","求職面試技
巧不足或不
會寫履歷",,"工作內容要求
不瞭解","不知道自己適合
做哪方面工作",技能不足,學經歷不足,職缺少,其他,
,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 46.89 , 9.90 , 16.90 ,, 11.76 , 26.25 , 18.61 , 21.85 , 11.35 , 1.61 , 53.11 
  職業別,,,,,,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 28.32 , 4.09 , 13.96 ,, 9.02 , 3.53 , 6.17 , 13.47 , 10.86 , 1.44 , 71.68 
  專業人員, 548 , 100.00 , 50.15 , 7.89 , 20.72 ,, 14.20 , 26.06 , 15.57 , 18.98 , 10.39 , 1.80 , 49.85 
  技術員及助理專業人員, 862 , 100.00 , 52.28 , 12.72 , 19.78 ,, 14.49 , 31.33 , 24.67 , 26.33 , 12.77 , 1.87 , 47.72 
  事務工作人員," 1,072 ", 100.00 , 47.27 , 8.80 , 19.27 ,, 12.26 , 28.03 , 17.48 , 20.26 , 12.63 , 1.64 , 52.73 
  服務工作人員及售貨員, 858 , 100.00 , 40.50 , 9.42 , 11.83 ,, 8.65 , 21.10 , 12.56 , 18.58 , 10.88 , 1.87 , 59.50 
  農林漁牧工作人員, 7 , 100.00 , 42.89 , 14.72 , 0.64 ,, - , 41.40 , 11.03 , 39.42 , 29.27 , 0.90 , 57.11 
  技術工及有關工作人員, 226 , 100.00 , 44.87 , 10.87 , 13.50 ,, 9.14 , 24.14 , 22.17 , 21.09 , 7.92 , 0.02 , 55.13 
  機械設備操作及組裝工, 244 , 100.00 , 49.65 , 11.77 , 13.03 ,, 9.19 , 26.77 , 27.64 , 30.15 , 9.08 , 0.97 , 50.35 
  非技術工及體力工, 133 , 100.00 , 43.99 , 9.28 , 11.27 ,, 11.06 , 25.56 , 23.61 , 27.37 , 8.17 , 1.28 , 56.01 
  工作型態,,,,,,,,,,,,,
  全日工作," 3,571 ", 100.00 , 46.55 , 9.57 , 17.02 ,, 12.05 , 26.15 , 18.93 , 21.94 , 11.39 , 1.66 , 53.45 
  部分工時工作, 441 , 100.00 , 49.61 , 12.58 , 15.95 ,, 9.39 , 27.12 , 16.06 , 21.11 , 11.03 , 1.24 , 50.39 
  僱用類型,,,,,,,,,,,,,
  一般員工," 3,833 ", 100.00 , 46.68 , 9.69 , 16.82 ,, 11.85 , 26.20 , 18.65 , 21.85 , 10.98 , 1.59 , 53.32 
  派遣員工, 179 , 100.00 , 51.35 , 14.39 , 18.54 ,, 9.64 , 27.31 , 17.73 , 21.77 , 19.24 , 2.03 , 48.65 
  工作年資別,,,,,,,,,,,,,
  未滿1年, 247 , 100.00 , 55.97 , 15.31 , 21.54 ,, 15.23 , 31.72 , 16.57 , 26.85 , 15.54 , 2.76 , 44.03 
  1~未滿3年," 1,340 ", 100.00 , 52.57 , 11.39 , 20.78 ,, 14.21 , 28.49 , 20.88 , 22.16 , 14.21 , 1.55 , 47.43 
  3~未滿6年," 1,448 ", 100.00 , 45.00 , 8.63 , 14.55 ,, 11.53 , 25.69 , 17.28 , 20.14 , 11.00 , 1.54 , 55.00 
  6~未滿10年, 766 , 100.00 , 41.02 , 8.69 , 14.95 ,, 8.21 , 23.33 , 19.25 , 23.91 , 6.91 , 1.38 , 58.98 
  10年及以上, 211 , 100.00 , 34.50 , 7.22 , 10.01 ,, 6.50 , 20.15 , 13.45 , 18.23 , 6.84 , 1.98 , 65.50 
  每月工作收入別  ,,,,,,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 47.69 , 11.63 , 17.89 ,, 9.41 , 24.16 , 16.32 , 19.20 , 11.26 , 2.55 , 52.31 
"  17,280 ~未滿2萬元", 309 , 100.00 , 44.52 , 8.90 , 13.93 ,, 10.12 , 26.34 , 17.96 , 22.74 , 11.53 , 1.45 , 55.48 
  2萬~未滿2萬5千元, 792 , 100.00 , 50.78 , 10.08 , 17.45 ,, 12.71 , 28.71 , 22.32 , 24.44 , 12.19 , 1.01 , 49.22 
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 48.65 , 10.95 , 18.51 ,, 12.95 , 27.35 , 20.79 , 23.90 , 13.33 , 1.93 , 51.35 
  3萬~未滿3萬元5千元, 785 , 100.00 , 45.46 , 10.65 , 15.14 ,, 11.66 , 26.31 , 17.22 , 21.96 , 9.62 , 1.41 , 54.54 
  3萬5千元~未滿4萬元, 357 , 100.00 , 50.93 , 8.66 , 19.38 ,, 12.33 , 31.44 , 17.79 , 21.40 , 13.50 , 1.57 , 49.07 
  4萬~未滿4萬5千元, 204 , 100.00 , 36.51 , 4.66 , 15.22 ,, 8.48 , 16.32 , 12.64 , 14.22 , 5.12 , 1.32 , 63.49 
  4萬5千元~未滿5萬元, 100 , 100.00 , 39.03 , 9.24 , 12.84 ,, 11.16 , 22.41 , 10.11 , 13.14 , 9.58 , 1.54 , 60.97 
  5萬元以上, 107 , 100.00 , 29.68 , 5.26 , 14.58 ,, 10.92 , 8.63 , 11.69 , 12.05 , 5.06 , 2.78 , 70.32 
說明：遇到困難可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,
