表037、青年勞工初次尋職遭遇到的困難情形 ─按性別、年齡、教育程度      、大專以上科系別分,,,,,,,,,,
金融及保險業, 248 , 100.00 , 71.41 , 16.82 , 28.19 , 22.09 , 51.51 , 24.56 , 1.20 , 28.59 
不動產及租賃業, 58 , 100.00 , 75.68 , 24.44 , 24.74 , 18.39 , 45.78 , 21.22 , 3.01 , 24.32 
專業科學及技術服務業, 300 , 100.00 , 66.04 , 15.80 , 25.01 , 23.34 , 48.90 , 26.88 , 3.40 , 33.96 
教育服務業, 60 , 100.00 , 61.92 , 27.81 , 15.89 , 14.23 , 29.84 , 11.97 , 7.35 , 38.08 
醫療保健及社會福利服務業, 180 , 100.00 , 58.40 , 19.70 , 30.07 , 20.68 , 23.89 , 18.81 , 4.13 , 41.60 
文化運動及休閒服務業, 106 , 100.00 , 66.11 , 16.87 , 19.33 , 21.32 , 47.62 , 33.13 , 3.74 , 33.89 
其他服務業, 223 , 100.00 , 68.22 , 19.60 , 22.53 , 19.74 , 46.55 , 33.72 , 3.07 , 31.78 
公共行政業, 43 , 100.00 , 68.61 , 28.00 , 18.48 , 19.90 , 48.03 , 24.12 , 3.09 , 31.39 
  規          模,,,,,,,,,,
9人以下, 740 , 100.00 , 66.49 , 16.30 , 21.53 , 17.76 , 45.89 , 30.67 , 4.37 , 33.51 
10人～19人, 632 , 100.00 , 66.46 , 15.72 , 19.59 , 19.09 , 45.90 , 26.65 , 3.53 , 33.54 
20人～49人, 671 , 100.00 , 65.68 , 17.81 , 21.30 , 21.68 , 46.96 , 25.32 , 2.69 , 34.32 
50人～199人, 897 , 100.00 , 71.78 , 19.97 , 24.71 , 21.30 , 51.32 , 27.64 , 3.20 , 28.22 
200人～499人, 641 , 100.00 , 67.98 , 18.54 , 24.83 , 21.31 , 47.83 , 28.89 , 3.07 , 32.02 
500人以上," 1,387 ", 100.00 , 66.33 , 20.15 , 25.75 , 22.14 , 45.55 , 26.46 , 2.78 , 33.67 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,
-49-,,,,,,,,,,
"表039、青年勞工初次尋職遭遇到的困難情形
─按工作年資、每月收入、職業別分",,,,,,,,,,
,,,中華民國九十五年七月,,,,,,,單位：人，%
項    目    別,加  權  後        樣  本  數,合    計,有遇到困難，遇到的困難為,,,,,,,沒有遇到困難
,,,計,求職管道不足,求職面試技巧不足,工作內容要求不瞭解,不知道做哪方面工作,技能    不足,其他,
總                                 計," 4,968 ", 100.00 , 67.48 , 18.46 , 23.43 , 20.78 , 47.17 , 27.48 , 3.21 , 32.52 
  工 作 年 資,,,,,,,,,,
3年以下," 2,769 ", 100.00 , 70.17 , 18.94 , 24.09 , 23.20 , 49.31 , 27.77 , 3.32 , 29.83 
3～5年," 1,523 ", 100.00 , 66.80 , 18.26 , 23.24 , 18.64 , 46.23 , 28.84 , 3.32 , 33.20 
6～10年, 620 , 100.00 , 59.52 , 17.50 , 21.52 , 16.29 , 41.83 , 24.22 , 2.77 , 40.48 
10年以上, 56 , 100.00 , 40.91 , 10.73 , 16.76 , 8.99 , 26.57 , 12.85 , - , 59.09 
  每 月 收 入    ,,,,,,,,,,
"未滿15,840元", 222 , 100.00 , 61.37 , 17.37 , 15.30 , 17.08 , 46.77 , 19.00 , 2.97 , 38.63 
"15,840元 ~未滿2萬元",356,100,68.9,22.06,21.24,15.7,50.64,32.59,4.93,31.1
2萬~未滿2萬5千元, 923 , 100.00 , 71.44 , 21.27 , 22.30 , 21.62 , 51.89 , 31.40 , 2.80 , 28.56 
2萬5千~未滿3萬元," 1,134 ", 100.00 , 71.89 , 20.44 , 25.14 , 22.70 , 50.74 , 30.97 , 2.98 , 28.11 
3萬~未滿3萬5千元," 1,089 ", 100.00 , 67.85 , 18.36 , 24.35 , 20.91 , 46.67 , 28.98 , 3.92 , 32.15 
3萬5千~未滿4萬元, 538 , 100.00 , 63.66 , 14.29 , 24.06 , 21.86 , 43.41 , 22.35 , 2.54 , 36.34 
4萬~未滿4萬5千元, 378 , 100.00 , 62.40 , 14.53 , 26.17 , 20.94 , 38.54 , 19.50 , 2.28 , 37.60 
4萬5千~未滿5萬元, 147 , 100.00 , 56.06 , 14.90 , 23.50 , 14.56 , 37.78 , 22.66 , 1.91 , 43.94 
5萬元以上, 181 , 100.00 , 53.32 , 10.06 , 19.57 , 19.71 , 34.29 , 12.92 , 4.53 , 46.68 
  職          業    ,,,,,,,,,,
企業主管及經理人員, 75 , 100.00 , 56.99 , 12.16 , 11.94 , 21.63 , 42.89 , 12.49 , 5.60 , 43.01 
專業人員, 863 , 100.00 , 63.92 , 13.53 , 26.26 , 23.20 , 35.72 , 23.04 , 3.20 , 36.08 
技術員及助理專業人員," 1,523 ", 100.00 , 68.33 , 18.82 , 26.06 , 23.06 , 50.48 , 29.59 , 2.61 , 31.67 
事務工作人員," 1,107 ", 100.00 , 70.83 , 18.25 , 26.57 , 19.02 , 52.17 , 27.53 , 3.29 , 29.17 
服務工作人員及售貨員, 638 , 100.00 , 65.24 , 21.61 , 16.96 , 17.30 , 47.31 , 21.39 , 1.18 , 34.76 
農林漁牧工作人員, 13 , 100.00 , 72.06 , 13.16 , 8.37 , 47.71 , 36.39 , 37.97 , 0.69 , 27.94 
技術工及有關工作人員, 267 , 100.00 , 69.26 , 22.50 , 15.21 , 20.26 , 39.37 , 35.86 , 5.43 , 30.74 
機械設備操作及組裝工, 268 , 100.00 , 64.24 , 20.88 , 19.79 , 16.62 , 46.39 , 34.06 , 6.49 , 35.76 
非技術工及體力工, 214 , 100.00 , 70.43 , 21.92 , 16.13 , 18.18 , 56.46 , 34.33 , 5.70 , 29.57 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,
-50-,,,,,,,,,,
