"表028、青年勞工初次尋職期間─按性別、年齡、教育程度、
  行          業,,,,,,,,,,
農林漁牧業, 4 , 100.00 , 7.29 , 11.56 , 32.25 , 5.48 , 18.57 , 15.20 , 9.65 , 2.70 
礦業及土石採取業, 2 , 100.00 , 3.61 , 12.42 , 56.51 , 9.54 , 8.81 , - , 9.12 , 1.85 
製造業," 1,753 ", 100.00 , 10.28 , 13.97 , 43.98 , 13.65 , 8.18 , 3.46 , 6.48 , 1.85 
水電燃氣業 , 5 , 100.00 , 7.85 , 6.75 , 43.51 , 10.26 , 16.96 , 7.36 , 7.31 , 2.50 
營造業, 168 , 100.00 , 10.12 , 11.32 , 43.54 , 18.80 , 3.85 , 3.31 , 9.07 , 2.14 
批發及零售業," 1,413 ", 100.00 , 9.47 , 14.85 , 45.51 , 11.26 , 9.31 , 2.53 , 7.07 , 1.75 
住宿及餐飲業, 247 , 100.00 , 10.85 , 13.76 , 49.88 , 9.38 , 9.25 , 2.46 , 4.43 , 1.94 
運輸、倉儲及通信業, 159 , 100.00 , 10.43 , 15.91 , 39.40 , 10.36 , 10.27 , 4.27 , 9.36 , 1.96 
金融及保險業, 248 , 100.00 , 11.22 , 10.81 , 38.71 , 18.99 , 9.81 , 3.48 , 6.99 , 1.80 
不動產及租賃業, 58 , 100.00 , 8.57 , 18.81 , 38.92 , 17.52 , 6.06 , 1.09 , 9.02 , 2.17 
專業科學及技術服務業, 300 , 100.00 , 17.31 , 12.36 , 38.80 , 10.79 , 9.78 , 4.33 , 6.63 , 1.90 
教育服務業, 60 , 100.00 , 14.71 , 6.07 , 35.07 , 28.67 , 3.58 , 2.53 , 9.38 , 2.16 
醫療保健及社會福利服務業, 180 , 100.00 , 8.70 , 10.38 , 42.85 , 15.38 , 11.55 , 3.94 , 7.19 , 1.95 
文化運動及休閒服務業, 106 , 100.00 , 8.76 , 12.61 , 41.83 , 14.26 , 12.00 , 1.19 , 9.36 , 2.34 
其他服務業, 223 , 100.00 , 13.67 , 8.67 , 45.58 , 14.76 , 5.59 , 4.38 , 7.35 , 2.01 
公共行政業, 43 , 100.00 , 8.31 , 9.46 , 36.17 , 14.03 , 9.96 , 4.27 , 17.80 , 3.32 
  規          模,,,,,,,,,,
9人以下, 740 , 100.00 , 10.95 , 10.70 , 46.54 , 11.41 , 9.93 , 2.21 , 8.26 , 1.94 
10人～19人, 632 , 100.00 , 9.32 , 15.42 , 45.11 , 12.94 , 7.75 , 2.75 , 6.71 , 1.73 
20人～49人, 671 , 100.00 , 11.47 , 12.48 , 43.24 , 13.09 , 9.22 , 2.45 , 8.06 , 2.07 
50人～199人, 897 , 100.00 , 10.57 , 14.99 , 43.53 , 12.24 , 8.67 , 3.99 , 6.00 , 1.86 
200人～499人, 641 , 100.00 , 10.22 , 11.64 , 44.33 , 13.09 , 8.29 , 3.71 , 8.72 , 2.03 
500人以上," 1,387 ", 100.00 , 10.83 , 14.31 , 41.65 , 15.22 , 8.42 , 3.58 , 5.99 , 1.78 
,,,,,,,,,,
-37-,,,,,,,,,,
表030、青年勞工初次尋職期間─按工作年資、每月收入、職業別分,,,,,,,,,,
,,,,中華民國九十五年七月,,,,,,單位：人，%，月
項    目    別,加  權  後        樣  本  數,合    計,立即   就業,1個     月內,1-2個月,2-3個月,3-4個月,4-6個月,6個月以上,平均找了多久
總                                 計," 4,968 ", 100.00 , 10.62 , 13.44 , 43.72 , 13.26 , 8.70 , 3.21 , 7.05 , 1.88 
  工 作 年 資,,,,,,,,,,
3年以下," 2,769 ", 100.00 , 9.98 , 13.37 , 43.74 , 13.12 , 8.58 , 3.51 , 7.70 , 2.00 
3～5年," 1,523 ", 100.00 , 11.07 , 14.75 , 41.45 , 14.28 , 9.40 , 3.18 , 5.86 , 1.73 
6～10年, 620 , 100.00 , 10.70 , 11.30 , 49.51 , 11.63 , 7.38 , 2.21 , 7.27 , 1.79 
10年以上, 56 , 100.00 , 29.10 , 5.36 , 40.27 , 10.60 , 9.96 , - , 4.71 , 1.35 
  每 月 收 入    ,,,,,,,,,,
"未滿15,840元", 222 , 100.00 , 9.93 , 7.64 , 56.64 , 7.99 , 8.15 , 2.36 , 7.29 , 1.67 
"15,840元 ~未滿2萬元", 356 , 100.00 , 10.33 , 9.47 , 43.78 , 14.00 , 9.61 , 2.05 , 10.78 , 2.74 
2萬~未滿2萬5千元, 923 , 100.00 , 8.88 , 12.96 , 42.96 , 14.26 , 9.92 , 3.14 , 7.89 , 2.00 
2萬5千~未滿3萬元," 1,134 ", 100.00 , 9.59 , 12.11 , 42.88 , 13.84 , 9.22 , 3.91 , 8.45 , 1.96 
3萬~未滿3萬5千元," 1,089 ", 100.00 , 10.67 , 14.77 , 43.36 , 14.03 , 8.27 , 2.99 , 5.92 , 1.69 
3萬5千~未滿4萬元, 538 , 100.00 , 10.70 , 15.74 , 44.70 , 10.62 , 8.54 , 4.07 , 5.63 , 1.81 
4萬~未滿4萬5千元, 378 , 100.00 , 14.03 , 15.62 , 38.27 , 14.66 , 9.06 , 2.59 , 5.77 , 1.78 
4萬5千~未滿5萬元, 147 , 100.00 , 13.43 , 16.47 , 45.22 , 11.77 , 7.24 , 1.75 , 4.12 , 1.38 
5萬元以上, 181 , 100.00 , 17.44 , 17.45 , 46.29 , 11.06 , 1.50 , 3.77 , 2.49 , 1.31 
  職          業    ,,,,,,,,,,
企業主管及經理人員, 75 , 100.00 , 13.37 , 14.96 , 51.51 , 9.82 , 6.72 , 1.25 , 2.37 , 1.18 
專業人員, 863 , 100.00 , 11.11 , 16.44 , 41.47 , 14.80 , 8.82 , 3.40 , 3.95 , 1.61 
技術員及助理專業人員," 1,523 ", 100.00 , 11.30 , 13.95 , 42.78 , 12.72 , 8.35 , 4.16 , 6.75 , 1.81 
事務工作人員," 1,107 ", 100.00 , 10.31 , 13.73 , 40.44 , 15.35 , 9.44 , 2.66 , 8.07 , 1.87 
服務工作人員及售貨員, 638 , 100.00 , 11.36 , 11.59 , 51.85 , 8.17 , 8.63 , 1.92 , 6.49 , 1.76 
農林漁牧工作人員, 13 , 100.00 , 8.28 , 20.67 , 47.36 , 0.40 , 9.06 , - , 14.23 , 1.93 
技術工及有關工作人員, 267 , 100.00 , 9.57 , 9.17 , 45.52 , 12.45 , 7.52 , 3.19 , 12.59 , 2.57 
機械設備操作及組裝工, 268 , 100.00 , 7.68 , 7.31 , 48.15 , 17.32 , 7.29 , 3.14 , 9.11 , 2.26 
非技術工及體力工, 214 , 100.00 , 7.31 , 13.82 , 41.46 , 13.22 , 10.92 , 3.39 , 9.88 , 2.78 
,,,,,,,,,,
-38-,,,,,,,,,,
