表8 青年勞工覺得學校所學與目前工作學以致用的程度,,,,,,,
,,, 中華民國105年10月  ,,,, 單位：人，％ 
南部地區, 951 , 100.00 , 2.49 , 16.85 , 53.75 , 11.63 , 15.28 
東部地區, 326 , 100.00 , 6.65 , 23.06 , 50.05 , 10.97 , 9.27 
規模,,,,,,,
29人以下," 1,107 ", 100.00 , 4.45 , 14.34 , 52.93 , 12.24 , 16.04 
30~49人, 494 , 100.00 , 4.11 , 17.93 , 51.36 , 13.17 , 13.42 
50~199人, 911 , 100.00 , 3.79 , 15.52 , 51.37 , 14.08 , 15.23 
200~499人, 670 , 100.00 , 5.21 , 15.16 , 50.04 , 12.73 , 16.86 
500人及以上, 865 , 100.00 , 6.39 , 18.77 , 47.20 , 15.17 , 12.48 
總工作年資,,,,,,,
未滿1年, 491 , 100.00 , 5.97 , 14.46 , 50.01 , 15.25 , 14.32 
1~未滿3年," 1,405 ", 100.00 , 5.14 , 18.31 , 51.68 , 12.84 , 12.03 
3~未滿6年," 1,566 ", 100.00 , 5.28 , 16.44 , 49.18 , 12.99 , 16.12 
6~未滿10年, 515 , 100.00 , 2.53 , 11.40 , 52.17 , 15.12 , 18.78 
10年及以上, 70 , 100.00 , 0.24 , 7.18 , 53.80 , 12.19 , 26.59 
每月收入,,,,,,,
未滿2萬元, 190 , 100.00 , 2.34 , 9.86 , 52.75 , 13.90 , 21.15 
2萬~未滿2萬5千元, 784 , 100.00 , 3.05 , 10.05 , 50.61 , 16.00 , 20.30 
2萬5千元~未滿3萬元," 1,133 ", 100.00 , 2.92 , 12.12 , 57.27 , 13.32 , 14.38 
3萬~未滿3萬5千元, 982 , 100.00 , 4.51 , 17.32 , 49.63 , 14.40 , 14.15 
3萬5千元~未滿4萬元, 462 , 100.00 , 5.04 , 23.18 , 46.90 , 11.41 , 13.46 
4萬~未滿4萬5千元, 268 , 100.00 , 11.68 , 31.30 , 43.16 , 7.85 , 6.02 
4萬5千元~未滿5萬元, 116 , 100.00 , 13.94 , 27.33 , 35.21 , 16.06 , 7.46 
5萬元以上, 112 , 100.00 , 19.89 , 27.71 , 40.41 , 8.28 , 3.70 
勞工工作型態,,,,,,,
全日工時," 3,721 ", 100.00 , 5.11 , 16.76 , 50.56 , 13.12 , 14.45 
部分工時, 326 , 100.00 , 3.80 , 11.63 , 51.14 , 16.24 , 17.18 
勞動契約性質,,,,,,,
定期勞動契約, 859 , 100.00 , 7.15 , 17.16 , 47.76 , 12.36 , 15.57 
不定期勞動契約," 3,188 ", 100.00 , 4.36 , 15.88 , 51.40 , 13.80 , 14.56 
勞工工作性質,,,,,,,
一般僱用," 3,952 ", 100.00 , 5.02 , 16.34 , 50.93 , 13.37 , 14.33 
承攬, 25 , 100.00 , 4.62 , 16.93 , 42.66 , 3.51 , 32.28 
派遣人力, 70 , 100.00 , 1.41 , 6.65 , 37.91 , 21.97 , 32.05 
