"表14 青年勞工覺得學校所學與目前工作學以致用的程度
,,, 中華民國101年10月 ,,,, 單位：人，％ 
項目別,樣本數,合計,很高,高,普通,低,很低
,,,,,,,
總計," 4,064 ", 100.00 , 3.95 , 11.85 , 49.04 , 17.97 , 17.18 
工作地區,,,,,,,
北部地區," 1,748 ", 100.00 , 4.33 , 11.85 , 48.39 , 18.33 , 17.11 
中部地區," 1,041 ", 100.00 , 3.47 , 10.70 , 51.98 , 17.26 , 16.59 
南部地區, 938 , 100.00 , 3.32 , 12.91 , 47.85 , 17.70 , 18.22 
東部地區, 337 , 100.00 , 4.26 , 16.13 , 47.36 , 17.93 , 14.33 
規模,,,,,,,
29人以下," 1,297 ", 100.00 , 4.12 , 10.20 , 48.85 , 18.76 , 18.07 
30-49人, 529 , 100.00 , 5.99 , 11.81 , 46.08 , 14.14 , 21.99 
50-199人, 861 , 100.00 , 1.90 , 12.73 , 49.53 , 19.32 , 16.52 
200-499人, 586 , 100.00 , 3.17 , 13.97 , 45.22 , 19.14 , 18.50 
500人以上, 791 , 100.00 , 4.71 , 12.63 , 51.20 , 16.78 , 14.68 
總工作年資,,,,,,,
未滿1年, 467 , 100.00 , 5.30 , 13.81 , 52.26 , 18.19 , 10.44 
1年-未滿3年," 1,282 ", 100.00 , 5.01 , 12.71 , 46.48 , 18.45 , 17.35 
3年-未滿6年," 1,366 ", 100.00 , 2.82 , 11.78 , 48.88 , 17.89 , 18.63 
6年-未滿10年, 773 , 100.00 , 2.49 , 9.65 , 52.21 , 17.01 , 18.64 
10年及以上, 176 , 100.00 , 2.75 , 4.13 , 47.17 , 17.10 , 28.86 
每月收入,,,,,,,
"未滿18,780元", 184 , 100.00 , 2.54 , 6.17 , 51.06 , 16.50 , 23.73 
"18,780元-未滿2萬元", 294 , 100.00 , 1.30 , 7.39 , 52.39 , 21.70 , 17.22 
2萬-未滿2.5萬元, 960 , 100.00 , 2.04 , 8.10 , 49.93 , 19.89 , 20.04 
2.5萬-未滿3萬元," 1,045 ", 100.00 , 3.43 , 8.96 , 50.82 , 19.96 , 16.83 
3萬-未滿3.5萬元, 831 , 100.00 , 3.96 , 14.51 , 46.31 , 18.25 , 16.97 
3.5萬-未滿4萬元, 338 , 100.00 , 9.01 , 20.73 , 47.38 , 11.82 , 11.06 
4萬-未滿4.5萬元, 219 , 100.00 , 6.50 , 25.94 , 46.66 , 10.82 , 10.08 
4.5萬-未滿5萬元, 71 , 100.00 , 12.50 , 23.96 , 37.46 , 17.01 , 9.07 
5萬元以上, 122 , 100.00 , 10.01 , 19.47 , 46.48 , 8.81 , 15.24 
勞工工作型態,,,,,,,
全日工時," 3,665 ", 100.00 , 4.17 , 12.63 , 48.88 , 17.93 , 16.39 
部份工時, 399 , 100.00 , 2.62 , 7.01 , 50.01 , 18.27 , 22.09 
勞動契約性質,,,,,,,
定期勞動契約, 754 , 100.00 , 5.20 , 13.78 , 52.17 , 16.28 , 12.57 
不定期勞動契約," 3,265 ", 100.00 , 3.75 , 11.56 , 48.56 , 18.08 , 18.04 
未約定, 45 , 100.00 , - , 4.85 , 38.29 , 35.22 , 21.64 
勞工工作性質,,,,,,,
一般僱用," 3,923 ", 100.00 , 4.05 , 12.05 , 48.69 , 17.90 , 17.31 
承攬, 39 , 100.00 , 5.68 , 8.81 , 60.10 , 10.86 , 14.54 
派遣人力, 102 , 100.00 , - , 5.66 , 58.36 , 22.66 , 13.33 
