表19、青年勞工加班情形─按性別、年齡、教育程度別分,,,,,,,,
,,,中華民國,99年10月,,,,單位：人，%，小時
  行業別,,,,,,,,
農林漁牧業, 40 , 100.00 , 54.55 , 45.45 , 29.01 , 16.44 , 9.18 , 7.14 
礦業及土石採取業, 42 , 100.00 , 51.85 , 48.15 , 31.46 , 16.69 , 3.89 , 2.25 
製造業," 1,196 ", 100.00 , 31.30 , 68.70 , 50.42 , 18.28 , 8.86 , 6.35 
電力及燃料供應業 , 84 , 100.00 , 56.65 , 43.35 , 32.50 , 10.85 , 5.50 , 4.52 
用水供應及污染整治業, 99 , 100.00 , 66.64 , 33.36 , 27.10 , 6.26 , 5.58 , 3.74 
營造業, 144 , 100.00 , 39.15 , 60.85 , 35.39 , 25.46 , 5.12 , 2.63 
批發及零售業, 901 , 100.00 , 46.51 , 53.49 , 28.50 , 24.98 , 5.71 , 2.94 
運輸及倉儲業, 119 , 100.00 , 48.25 , 51.75 , 29.56 , 22.19 , 4.77 , 3.17 
住宿及餐飲業, 160 , 100.00 , 54.26 , 45.74 , 27.79 , 17.95 , 3.88 , 1.57 
資訊及通訊傳播業, 182 , 100.00 , 34.86 , 65.14 , 26.04 , 39.09 , 5.12 , 1.34 
金融及保險業, 190 , 100.00 , 34.81 , 65.19 , 31.00 , 34.19 , 5.29 , 1.72 
不動產業, 88 , 100.00 , 62.13 , 37.87 , 16.36 , 21.51 , 4.45 , 1.31 
專業科學及技術服務業, 185 , 100.00 , 32.61 , 67.39 , 27.96 , 39.43 , 6.52 , 2.05 
支援服務業, 120 , 100.00 , 54.60 , 45.40 , 26.80 , 18.60 , 5.95 , 4.37 
公共行政及國防, 72 , 100.00 , 46.28 , 53.72 , 32.86 , 20.86 , 3.92 , 2.16 
教育服務業, 72 , 100.00 , 31.46 , 68.54 , 13.61 , 54.92 , 3.35 , 0.67 
醫療保健及社會工作服務業, 167 , 100.00 , 43.95 , 56.05 , 14.64 , 41.42 , 4.86 , 1.47 
藝術、娛樂及休閒服務業, 53 , 100.00 , 54.46 , 45.54 , 26.78 , 18.75 , 5.40 , 2.15 
其他服務業, 100 , 100.00 , 50.08 , 49.92 , 22.06 , 27.86 , 7.27 , 2.12 
  規模別,,,,,,,,
29人以下," 1,384 ", 100.00 , 51.46 , 48.54 , 29.43 , 19.11 , 5.94 , 3.36 
30人～49人, 479 , 100.00 , 43.14 , 56.86 , 34.66 , 22.20 , 6.54 , 3.68 
50人～199人, 852 , 100.00 , 35.74 , 64.26 , 38.76 , 25.50 , 6.69 , 4.36 
200人～499人, 543 , 100.00 , 33.72 , 66.28 , 37.57 , 28.71 , 7.52 , 4.52 
500人以上, 756 , 100.00 , 32.94 , 67.06 , 38.76 , 28.30 , 7.18 , 4.15 
,,,,,,,,
,,,,,,,,
表21、青年勞工加班情形─按職業、總工作年資、每月收入、工作性質別分,,,,,,,,
,,,中華民國,99年10月,,,,單位：人，%，小時
項    目    別,樣 本 數,合    計,"沒有
加班",有加班,,,,
,,,,計,有加班費,沒有            加班費,"平均每週
加班時數","平均每週
領取加班費
時數"
,,,,,,,,
總                                 計," 4,014 ", 100.00 , 40.84 , 59.16 , 35.02 , 24.15 , 6.72 , 3.97 
  職業別,,,,,,,,
行政、企業主管及經理人員, 64 , 100.00 , 36.10 , 63.90 , 29.30 , 34.60 , 6.92 , 2.60 
專業人員, 669 , 100.00 , 25.82 , 74.18 , 26.83 , 47.36 , 6.94 , 2.21 
技術員及助理專業人員," 1,029 ", 100.00 , 35.10 , 64.90 , 43.64 , 21.26 , 8.01 , 5.51 
事務工作人員, 966 , 100.00 , 46.16 , 53.84 , 26.66 , 27.18 , 4.62 , 1.98 
服務工作人員及售貨員, 648 , 100.00 , 57.85 , 42.15 , 25.11 , 17.03 , 4.31 , 2.27 
農林漁牧工作人員, 18 , 100.00 , 46.47 , 53.53 , 48.18 , 5.36 , 5.75 , 5.38 
技術工及有關工作人員, 218 , 100.00 , 42.40 , 57.60 , 51.21 , 6.39 , 8.81 , 7.37 
機械設備操作及組裝工, 256 , 100.00 , 27.17 , 72.83 , 68.18 , 4.64 , 8.79 , 8.18 
非技術工及體力工, 146 , 100.00 , 48.45 , 51.55 , 38.83 , 12.72 , 9.31 , 7.14 
  總工作年資,,,,,,,,
未滿1年, 385 , 100.00 , 50.63 , 49.37 , 30.32 , 19.05 , 5.96 , 3.79 
1~未滿3年," 1,096 ", 100.00 , 42.80 , 57.20 , 32.70 , 24.49 , 6.60 , 3.61 
3~未滿6年," 1,510 ", 100.00 , 38.07 , 61.93 , 34.42 , 27.51 , 6.67 , 3.71 
6~未滿10年, 782 , 100.00 , 37.66 , 62.34 , 39.70 , 22.65 , 6.92 , 4.42 
10年及以上, 241 , 100.00 , 37.29 , 62.71 , 47.09 , 15.62 , 8.33 , 6.33 
  每月收入別  ,,,,,,,,
"未滿17,280元", 220 , 100.00 , 73.68 , 26.32 , 21.94 , 4.37 , 4.62 , 3.82 
"17,280 ~未滿2萬元", 346 , 100.00 , 63.50 , 36.50 , 27.84 , 8.66 , 5.81 , 4.39 
2萬~未滿2萬5千元, 924 , 100.00 , 46.41 , 53.59 , 37.03 , 16.55 , 5.47 , 3.90 
2萬5千~未滿3萬元," 1,009 ", 100.00 , 38.08 , 61.92 , 37.65 , 24.27 , 6.29 , 3.98 
3萬~未滿3萬元5千元, 787 , 100.00 , 30.49 , 69.51 , 37.44 , 32.08 , 7.70 , 4.14 
3萬5千元~未滿4萬, 356 , 100.00 , 28.95 , 71.05 , 35.09 , 35.96 , 7.48 , 4.14 
4萬~未滿4萬5千元, 210 , 100.00 , 24.92 , 75.08 , 34.35 , 40.73 , 8.14 , 3.41 
4萬5千元~未滿5萬元, 69 , 100.00 , 20.35 , 79.65 , 42.60 , 37.06 , 7.25 , 4.06 
5萬元以上, 93 , 100.00 , 14.67 , 85.33 , 33.79 , 51.55 , 8.36 , 3.47 
全日或部份工時,,,,,,,,
全日工作," 3,650 ", 100.00 , 38.10 , 61.90 , 36.02 , 25.88 , 6.88 , 4.03 
部份工時工作, 364 , 100.00 , 62.16 , 37.84 , 27.22 , 10.62 , 4.76 , 3.20 
常僱或臨時,,,,,,,,
常僱員工," 3,853 ", 100.00 , 39.94 , 60.06 , 35.22 , 24.85 , 6.75 , 3.94 
臨時員工, 161 , 100.00 , 63.23 , 36.77 , 30.09 , 6.68 , 5.45 , 4.97 
受僱、承攬或派遣,,,,,,,,
一般受僱," 3,876 ", 100.00 , 40.23 , 59.77 , 35.08 , 24.69 , 6.75 , 3.95 
承攬, 29 , 100.00 , 52.03 , 47.97 , 35.16 , 12.81 , 5.86 , 4.38 
派遣人力, 109 , 100.00 , 57.54 , 42.46 , 33.07 , 9.39 , 5.49 , 4.57 
