"表10 青年勞工加班情形
2.5萬-未滿3萬元," 1,045 ", 100.00 , 51.26 , 48.74 , 27.40 , 21.34 , 4.69 , 2.76 
3萬-未滿3.5萬元, 831 , 100.00 , 42.94 , 57.06 , 33.62 , 23.45 , 6.07 , 3.55 
3.5萬-未滿4萬元, 338 , 100.00 , 31.65 , 68.35 , 31.35 , 37.00 , 6.09 , 3.09 
4萬-未滿4.5萬元, 219 , 100.00 , 38.51 , 61.49 , 33.79 , 27.71 , 6.86 , 3.90 
4.5萬-未滿5萬元, 71 , 100.00 , 28.30 , 71.70 , 37.66 , 34.04 , 7.24 , 3.85 
5萬元以上, 122 , 100.00 , 34.00 , 66.00 , 27.38 , 38.61 , 7.49 , 2.72 
勞工工作型態,,,,,,,,
全日工時," 3,665 ", 100.00 , 49.38 , 50.62 , 29.08 , 21.54 , 5.55 , 3.23 
部份工時, 399 , 100.00 , 78.74 , 21.26 , 13.32 , 7.94 , 5.28 , 2.58 
勞動契約性質,,,,,,,,
定期勞動契約, 754 , 100.00 , 56.73 , 43.27 , 23.70 , 19.56 , 5.29 , 2.87 
不定期勞動契約," 3,265 ", 100.00 , 52.96 , 47.04 , 27.45 , 19.59 , 5.59 , 3.25 
未約定, 45 , 100.00 , 42.90 , 57.10 , 32.13 , 24.98 , 4.68 , 3.03 
勞工工作性質,,,,,,,,
一般僱用," 3,923 ", 100.00 , 53.09 , 46.91 , 27.00 , 19.91 , 5.52 , 3.16 
承攬, 39 , 100.00 , 57.93 , 42.07 , 15.29 , 26.78 , 5.69 , 2.89 
派遣人力, 102 , 100.00 , 65.43 , 34.57 , 26.15 , 8.42 , 5.98 , 4.58 
