表4 青年勞工加班情形,,,,,,,,,
,,, 中華民國103年10月 ,,,,,, 單位：人，％，天，小時 
機械設備操作及組裝人員, 222 , 100.00 , 56.26 , 43.74 , 41.28 , 2.46 , 8.20 , 7.74 , 3.59 
基層技術工及勞力工, 167 , 100.00 , 65.26 , 34.74 , 31.16 , 3.58 , 5.25 , 5.03 , 1.82 
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,
表4 青年勞工加班情形(續),,,,,,,,,
,,, 中華民國103年10月 ,,,,, 單位：人，％，天，小時 , 單位：人，％，天，小時 
項目別,樣本數,合計,"沒有
加班",有加班,,,,,"平均每週
加班時數"
,,,,計,"有加
班費","沒有
加班費","平均每週
加班時數","平均每週
領取加班費
時數",
總計," 4,034 ", 100.00 , 57.08 , 42.92 , 27.35 , 15.56 , 5.42 , 3.54 , 2.33 
工作地區,,,,,,,,,
工作地區," 1,782 ", 100.00 , 55.00 , 45.00 , 27.15 , 17.84 , 5.35 , 3.25 , 2.41 
中部地區," 1,049 ", 100.00 , 58.06 , 41.94 , 27.96 , 13.98 , 5.55 , 3.83 , 2.33 
南部地區, 911 , 100.00 , 61.78 , 38.22 , 27.67 , 10.55 , 5.63 , 4.28 , 2.15 
東部地區, 292 , 100.00 , 66.39 , 33.61 , 20.22 , 13.38 , 3.47 , 2.11 , 1.17 
規模,,,,,,,,,
29人以下," 1,414 ", 100.00 , 68.51 , 31.49 , 19.78 , 11.71 , 4.82 , 3.05 , 1.52 
30~49人, 518 , 100.00 , 58.99 , 41.01 , 27.63 , 13.38 , 4.83 , 3.03 , 1.98 
50~199人, 851 , 100.00 , 53.34 , 46.66 , 28.66 , 18.01 , 4.97 , 3.16 , 2.32 
200~499人, 634 , 100.00 , 49.91 , 50.09 , 29.38 , 20.71 , 5.71 , 3.79 , 2.86 
500人及以上, 617 , 100.00 , 46.55 , 53.45 , 35.54 , 17.91 , 6.14 , 4.12 , 3.28 
總工作年資,,,,,,,,,
未滿1年, 381 , 100.00 , 58.22 , 41.78 , 26.51 , 15.27 , 4.82 , 3.08 , 2.01 
1~未滿3年," 1,420 ", 100.00 , 56.83 , 43.17 , 26.68 , 16.49 , 5.19 , 3.20 , 2.24 
3~未滿6年," 1,536 ", 100.00 , 55.37 , 44.63 , 27.32 , 17.31 , 5.60 , 3.55 , 2.50 
6~未滿10年, 589 , 100.00 , 60.75 , 39.25 , 30.47 , 8.78 , 6.12 , 5.02 , 2.40 
10年及以上, 108 , 100.00 , 62.25 , 37.75 , 26.61 , 11.14 , 6.46 , 4.22 , 2.44 
每月收入,,,,,,,,,
"未滿19,273元", 228 , 100.00 , 85.88 , 14.12 , 10.46 , 3.66 , 3.52 , 2.52 , 0.50 
"19,273~未滿2萬元", 76 , 100.00 , 78.93 , 21.07 , 16.30 , 4.77 , 4.50 , 2.50 , 0.95 
2萬~未滿2萬5千元, 880 , 100.00 , 65.98 , 34.02 , 24.48 , 9.54 , 4.69 , 3.56 , 1.59 
2萬5千~未滿3萬元," 1,121 ", 100.00 , 57.73 , 42.27 , 28.71 , 13.56 , 4.85 , 3.53 , 2.05 
3萬~未滿3萬5千元, 914 , 100.00 , 48.27 , 51.73 , 30.85 , 20.88 , 5.67 , 3.62 , 2.93 
3萬5千~未滿4萬元, 385 , 100.00 , 45.26 , 54.74 , 32.85 , 21.89 , 5.40 , 3.14 , 2.95 
4萬~未滿4萬5千元, 233 , 100.00 , 52.32 , 47.68 , 26.91 , 20.77 , 6.66 , 4.00 , 3.18 
4萬5千~未滿5萬元, 93 , 100.00 , 37.40 , 62.60 , 39.98 , 22.62 , 8.63 , 5.92 , 5.40 
5萬元以上, 104 , 100.00 , 30.46 , 69.54 , 31.70 , 37.84 , 6.67 , 2.17 , 4.64 
勞工工作型態,,,,,,,,,
全日工時," 3,696 ", 100.00 , 53.76 , 46.24 , 29.22 , 17.01 , 5.50 , 3.59 , 2.54 
部分工時, 338 , 100.00 , 82.99 , 17.01 , 12.75 , 4.26 , 3.77 , 2.53 , 0.64 
勞動契約性質,,,,,,,,,
定期勞動契約, 734 , 100.00 , 61.65 , 38.35 , 22.38 , 15.97 , 5.30 , 3.02 , 2.03 
不定期勞動契約," 3,300 ", 100.00 , 56.16 , 43.84 , 28.36 , 15.48 , 5.45 , 3.63 , 2.39 
勞工工作性質,,,,,,,,,
一般僱用," 3,938 ", 100.00 , 56.88 , 43.12 , 27.45 , 15.66 , 5.39 , 3.53 , 2.33 
承攬, 28 , 100.00 , 83.93 , 16.07 , 3.13 , 12.94 , 6.94 , 0.68 , 1.12 
派遣人力, 68 , 100.00 , 54.65 , 45.35 , 33.66 , 11.69 , 6.71 , 4.30 , 3.04 
