表19、青年勞工加班情形─按性別、年齡、教育程度別分,,,,,,,,
,,,中華民國,97年10月,,,,單位：人，%，小時
  南    區, 508 , 100.00 , 44.54 , 55.46 , 37.04 , 18.41 , 5.83 , 3.97 
  東    區, 35 , 100.00 , 52.65 , 47.35 , 22.07 , 25.28 , 3.92 , 1.70 
  行業別,,,,,,,,
  農林漁牧業, 3 , 100.00 , 51.72 , 48.28 , 20.77 , 27.52 , 4.77 , 2.14 
  礦業及土石採取業, 1 , 100.00 , 53.30 , 46.70 , 41.91 , 4.79 , 4.94 , 4.52 
  製造業," 1,334 ", 100.00 , 31.18 , 68.82 , 49.95 , 18.88 , 7.11 , 5.27 
  水電燃氣業 , 5 , 100.00 , 46.22 , 53.78 , 43.29 , 10.49 , 5.82 , 4.35 
  營造業, 135 , 100.00 , 37.78 , 62.22 , 41.98 , 20.24 , 4.80 , 3.12 
  批發及零售業," 1,154 ", 100.00 , 49.28 , 50.72 , 26.48 , 24.24 , 5.22 , 2.48 
  住宿及餐飲業, 293 , 100.00 , 54.76 , 45.24 , 21.83 , 23.41 , 3.50 , 1.67 
  運輸、倉儲及通信業, 115 , 100.00 , 45.85 , 54.15 , 32.13 , 22.02 , 4.53 , 2.50 
  金融及保險業, 176 , 100.00 , 36.92 , 63.08 , 27.36 , 35.72 , 5.19 , 1.78 
  不動產及租賃業, 51 , 100.00 , 60.07 , 39.93 , 18.42 , 21.51 , 5.25 , 1.70 
  專業科學及技術服務業, 244 , 100.00 , 32.07 , 67.93 , 30.71 , 37.22 , 5.89 , 2.39 
  教育服務業, 32 , 100.00 , 53.15 , 46.85 , 11.46 , 35.39 , 4.60 , 1.26 
  醫療保健及社會福利服務業, 138 , 100.00 , 39.15 , 60.85 , 18.07 , 42.77 , 4.26 , 1.29 
  文化運動及休閒服務業, 82 , 100.00 , 52.19 , 47.81 , 16.79 , 31.03 , 4.57 , 1.51 
  其他服務業, 212 , 100.00 , 54.17 , 45.83 , 24.44 , 21.39 , 4.48 , 2.56 
  公共行政業, 37 , 100.00 , 47.96 , 52.04 , 29.81 , 22.23 , 3.91 , 2.22 
  規模別,,,,,,,,
  29人以下," 1,388 ", 100.00 , 49.94 , 50.06 , 29.20 , 20.85 , 4.98 , 2.81 
  30人～49人, 304 , 100.00 , 47.48 , 52.52 , 31.11 , 21.41 , 5.71 , 3.57 
  50人～199人, 678 , 100.00 , 38.44 , 61.56 , 40.20 , 21.36 , 5.89 , 3.90 
  200人～499人, 434 , 100.00 , 36.19 , 63.81 , 40.23 , 23.58 , 5.74 , 3.92 
  500人以上," 1,208 ", 100.00 , 34.63 , 65.37 , 35.03 , 30.34 , 6.47 , 3.57 
,,,,,,,,
,,,,,,,,
表21、青年勞工加班情形─按職業、工作性質、工作年資、每月工作收入別分,,,,,,,,
,,,中華民國,97年10月,,,,單位：人，%，小時
項    目    別,樣 本 數,合    計,"沒有
加班",有加班,,,,
,,,,計,有加班費,沒有            加班費,"平均每週
加班時數","平均每週
領取加班費
時數"
,,,,,,,,
總                                 計," 4,012 ", 100.00 , 41.72 , 58.28 , 34.15 , 24.13 , 5.78 , 3.44 
  職業別,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 34.71 , 65.29 , 36.39 , 28.90 , 9.31 , 6.53 
  專業人員, 548 , 100.00 , 24.05 , 75.95 , 33.05 , 42.90 , 6.41 , 2.75 
  技術員及助理專業人員, 862 , 100.00 , 33.74 , 66.26 , 41.31 , 24.95 , 6.34 , 4.12 
  事務工作人員," 1,072 ", 100.00 , 46.68 , 53.32 , 27.08 , 26.24 , 4.55 , 1.90 
  服務工作人員及售貨員, 858 , 100.00 , 57.76 , 42.24 , 25.15 , 17.08 , 4.57 , 2.71 
  農林漁牧工作人員, 7 , 100.00 , 83.95 , 16.05 , 11.60 , 4.45 , 1.43 , 0.84 
  技術工及有關工作人員, 226 , 100.00 , 29.77 , 70.23 , 54.53 , 15.70 , 6.32 , 5.50 
  機械設備操作及組裝工, 244 , 100.00 , 36.34 , 63.66 , 52.79 , 10.87 , 7.56 , 6.62 
  非技術工及體力工, 133 , 100.00 , 53.79 , 46.21 , 38.64 , 7.58 , 6.92 , 5.21 
  工作型態,,,,,,,,
  全日工作," 3,571 ", 100.00 , 37.98 , 62.02 , 35.90 , 26.11 , 5.84 , 3.47 
  部分工時工作, 441 , 100.00 , 71.97 , 28.03 , 19.96 , 8.06 , 4.82 , 3.02 
  僱用類型,,,,,,,,
  一般員工," 3,833 ", 100.00 , 41.27 , 58.73 , 34.11 , 24.62 , 5.80 , 3.43 
  派遣員工, 179 , 100.00 , 51.25 , 48.75 , 35.07 , 13.68 , 5.34 , 3.81 
  工作年資別,,,,,,,,
  未滿1年, 247 , 100.00 , 59.94 , 40.06 , 19.41 , 20.64 , 5.29 , 2.56 
  1~未滿3年," 1,340 ", 100.00 , 41.19 , 58.81 , 34.05 , 24.76 , 5.83 , 3.37 
  3~未滿6年," 1,448 ", 100.00 , 39.47 , 60.53 , 34.22 , 26.31 , 5.52 , 3.11 
  6~未滿10年, 766 , 100.00 , 41.56 , 58.44 , 37.06 , 21.38 , 6.09 , 4.13 
  10年及以上, 211 , 100.00 , 39.65 , 60.35 , 41.07 , 19.27 , 6.67 , 4.43 
  每月工作收入別  ,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 73.45 , 26.55 , 18.41 , 8.14 , 3.43 , 2.42 
"  17,280 ~未滿2萬元", 309 , 100.00 , 65.09 , 34.91 , 25.77 , 9.14 , 4.28 , 3.04 
  2萬~未滿2萬5千元, 792 , 100.00 , 48.07 , 51.93 , 34.10 , 17.84 , 4.71 , 3.17 
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 39.24 , 60.76 , 36.87 , 23.88 , 5.55 , 3.52 
  3萬~未滿3萬元5千元, 785 , 100.00 , 32.64 , 67.36 , 35.69 , 31.66 , 5.82 , 3.13 
  3萬5千元~未滿4萬元, 357 , 100.00 , 28.95 , 71.05 , 34.43 , 36.62 , 6.93 , 3.42 
  4萬~未滿4萬5千元, 204 , 100.00 , 22.17 , 77.83 , 40.30 , 37.54 , 6.68 , 3.41 
  4萬5千元~未滿5萬元, 100 , 100.00 , 16.43 , 83.57 , 49.54 , 34.03 , 7.94 , 5.51 
  5萬元以上, 107 , 100.00 , 20.67 , 79.33 , 44.19 , 35.14 , 9.71 , 5.86 
