表31、青年勞工畢業前是否事先規劃,,,,,,,─按性別、年齡、教育程度、工作年資別分,,,,,,,,,
  農林漁牧業, 3 , 100.00 , 53.12 , 46.88 , - ,, 2.69 , 3.52 , 43.37 , 2.08 , 46.88 ,(100.00), 40.19 ,(85.73), 6.69 ,(14.27)
  礦業及土石採取業, 1 , 100.00 , 62.20 , 37.80 , 8.39 ,, 3.49 , - , 24.32 , 5.09 , 37.80 ,(100.00), 19.89 ,(52.62), 17.91 ,(47.38)
  製造業," 1,334 ", 100.00 , 53.30 , 46.70 , 4.86 ,, 6.24 , 5.83 , 36.33 , 1.50 , 46.70 ,(100.00), 35.00 ,(74.94), 11.70 ,(25.06)
  水電燃氣業 , 5 , 100.00 , 60.97 , 39.03 , 4.57 ,, 4.00 , 3.78 , 27.67 , 1.16 , 39.03 ,(100.00), 24.54 ,(62.88), 14.49 ,(37.12)
  營造業, 135 , 100.00 , 55.17 , 44.83 , 1.53 ,, 5.40 , 4.09 , 36.03 , 3.90 , 44.83 ,(100.00), 26.00 ,(58.00), 18.83 ,(42.00)
  批發及零售業," 1,154 ", 100.00 , 56.35 , 43.65 , 6.53 ,, 3.64 , 5.02 , 33.58 , 2.13 , 43.65 ,(100.00), 33.16 ,(75.96), 10.49 ,(24.04)
  住宿及餐飲業, 293 , 100.00 , 53.00 , 47.00 , 4.57 ,, 4.16 , 9.92 , 34.54 , 1.02 , 47.00 ,(100.00), 35.85 ,(76.28), 11.15 ,(23.72)
  運輸、倉儲及通信業, 115 , 100.00 , 45.96 , 54.04 , 6.53 ,, 3.62 , 6.89 , 42.75 , 1.74 , 54.04 ,(100.00), 37.33 ,(69.07), 16.71 ,(30.93)
  金融及保險業, 176 , 100.00 , 50.19 , 49.81 , 2.53 ,, 4.00 , 6.44 , 40.86 , 1.32 , 49.81 ,(100.00), 38.03 ,(76.34), 11.78 ,(23.66)
  不動產及租賃業, 51 , 100.00 , 53.95 , 46.05 , 2.94 ,, 9.22 , 7.81 , 35.59 , 0.68 , 46.05 ,(100.00), 36.61 ,(79.51), 9.44 ,(20.49)
  專業科學及技術服務業, 244 , 100.00 , 43.15 , 56.85 , 3.39 ,, 2.30 , 4.97 , 49.10 , 2.11 , 56.85 ,(100.00), 46.20 ,(81.28), 10.64 ,(18.72)
  教育服務業, 32 , 100.00 , 42.13 , 57.87 , 9.65 ,, 5.58 , 11.05 , 41.77 , 3.50 , 57.87 ,(100.00), 42.90 ,(74.12), 14.98 ,(25.88)
  醫療保健及社會福利服務業, 138 , 100.00 , 26.80 , 73.20 , 5.01 ,, 6.40 , 22.80 , 54.24 , 3.13 , 73.20 ,(100.00), 53.89 ,(73.62), 19.31 ,(26.38)
  文化運動及休閒服務業, 82 , 100.00 , 49.62 , 50.38 , 1.44 ,, 5.19 , 4.44 , 43.01 , 6.38 , 50.38 ,(100.00), 39.72 ,(78.84), 10.66 ,(21.16)
  其他服務業, 212 , 100.00 , 53.16 , 46.84 , 4.15 ,, 2.51 , 11.42 , 39.09 , 0.34 , 46.84 ,(100.00), 29.07 ,(62.07), 17.76 ,(37.93)
  公共行政業, 37 , 100.00 , 52.92 , 47.08 , 12.20 ,, 9.42 , 7.63 , 33.42 , 5.14 , 47.08 ,(100.00), 32.24 ,(68.48), 14.84 ,(31.52)
  規模別,,,,,,,,,,,,,,,,
  29人以下," 1,388 ", 100.00 , 57.10 , 42.90 , 4.91 ,, 3.79 , 5.41 , 34.12 , 2.11 , 42.90 ,(100.00), 32.40 ,(75.53), 10.50 ,(24.47)
  30人～49人, 304 , 100.00 , 55.18 , 44.82 , 4.79 ,, 5.19 , 5.49 , 35.23 , 1.01 , 44.82 ,(100.00), 31.53 ,(70.34), 13.29 ,(29.66)
  50人～199人, 678 , 100.00 , 49.42 , 50.58 , 5.49 ,, 3.50 , 6.86 , 38.84 , 1.87 , 50.58 ,(100.00), 36.96 ,(73.07), 13.62 ,(26.93)
  200人～499人, 434 , 100.00 , 48.55 , 51.45 , 4.68 ,, 4.94 , 8.88 , 37.97 , 2.13 , 51.45 ,(100.00), 37.96 ,(73.77), 13.50 ,(26.23)
  500人以上," 1,208 ", 100.00 , 48.65 , 51.35 , 5.13 ,, 6.36 , 7.86 , 40.88 , 1.82 , 51.35 ,(100.00), 38.65 ,(75.28), 12.69 ,(24.72)
說明：規劃方式可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表33、青年勞工畢業前是否事先規劃,,,,,,,─按職業、工作性質、工作年資、每月收入別分,,,,,,,,,
,,,,,中華民國,,97年10月,,,,,,,,單位：人，%,
項    目    別,樣 本 數,合    計,否,是,,,,,,,,,,,,
,,,,,透過何種,,方式輔導,,,,對初次尋職是否有幫助,,,,,
,,,,,"公立就業
服務機構",,"私立就業
服務機構","學校輔導室
或相關系所",自我規劃,其他,計,,是,,否,
總                                 計," 4,012 ", 100.00 , 52.19 , 47.81 , 5.04 ,, 4.75 , 6.77 , 37.45 , 1.90 , 47.81 ,(100.00), 35.59 ,(74.43), 12.22 ,(25.57)
  職業別,,,,,,,,,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 46.09 , 53.91 , - ,, 2.90 , 12.50 , 49.77 , 0.58 , 53.91 ,(100.00), 37.03 ,(68.68), 16.88 ,(31.32)
  專業人員, 548 , 100.00 , 31.17 , 68.83 , 5.64 ,, 10.69 , 9.90 , 54.95 , 3.76 , 68.83 ,(100.00), 58.14 ,(84.47), 10.69 ,(15.53)
  技術員及助理專業人員, 862 , 100.00 , 52.84 , 47.16 , 4.60 ,, 5.07 , 5.62 , 37.08 , 1.46 , 47.16 ,(100.00), 34.81 ,(73.81), 12.35 ,(26.19)
  事務工作人員," 1,072 ", 100.00 , 53.55 , 46.45 , 4.09 ,, 3.78 , 7.60 , 37.08 , 1.42 , 46.45 ,(100.00), 33.83 ,(72.82), 12.63 ,(27.18)
  服務工作人員及售貨員, 858 , 100.00 , 57.33 , 42.67 , 5.36 ,, 2.38 , 6.36 , 33.42 , 1.45 , 42.67 ,(100.00), 30.64 ,(71.80), 12.03 ,(28.20)
  農林漁牧工作人員, 7 , 100.00 , 58.20 , 41.80 , - ,, 14.11 , - , 27.69 , - , 41.80 ,(100.00), 20.28 ,(48.53), 21.52 ,(51.47)
  技術工及有關工作人員, 226 , 100.00 , 59.05 , 40.95 , 5.73 ,, 6.58 , 3.81 , 30.73 , 1.46 , 40.95 ,(100.00), 29.44 ,(71.88), 11.51 ,(28.12)
  機械設備操作及組裝工, 244 , 100.00 , 60.46 , 39.54 , 7.72 ,, 2.79 , 5.37 , 26.71 , 2.27 , 39.54 ,(100.00), 23.12 ,(58.48), 16.42 ,(41.52)
  非技術工及體力工, 133 , 100.00 , 66.06 , 33.94 , 7.55 ,, 2.04 , 2.63 , 22.79 , 4.59 , 33.94 ,(100.00), 27.42 ,(80.78), 6.52 ,(19.22)
  工作型態,,,,,,,,,,,,,,,,
  全日工作," 3,571 ", 100.00 , 52.09 , 47.91 , 4.66 ,, 4.84 , 6.74 , 37.70 , 2.05 , 47.91 ,(100.00), 35.92 ,(74.98), 11.99 ,(25.02)
  部分工時工作, 441 , 100.00 , 52.98 , 47.02 , 8.11 ,, 4.00 , 7.01 , 35.44 , 0.70 , 47.02 ,(100.00), 32.88 ,(69.92), 14.14 ,(30.08)
  僱用類型,,,,,,,,,,,,,,,,
  一般員工," 3,833 ", 100.00 , 52.61 , 47.39 , 4.90 ,, 4.73 , 6.69 , 37.29 , 1.87 , 47.39 ,(100.00), 35.45 ,(74.82), 11.93 ,(25.18)
  派遣員工, 179 , 100.00 , 43.16 , 56.84 , 8.13 ,, 5.03 , 8.56 , 41.03 , 2.42 , 56.84 ,(100.00), 38.43 ,(67.60), 18.42 ,(32.40)
  工作年資別,,,,,,,,,,,,,,,,
  未滿1年, 247 , 100.00 , 51.08 , 48.92 , 6.75 ,, 3.62 , 7.46 , 37.97 , 1.86 , 48.92 ,(100.00), 38.36 ,(78.43), 10.55 ,(21.57)
  1~未滿3年," 1,340 ", 100.00 , 47.15 , 52.85 , 4.40 ,, 6.02 , 9.49 , 41.72 , 1.78 , 52.85 ,(100.00), 40.00 ,(75.68), 12.85 ,(24.32)
  3~未滿6年," 1,448 ", 100.00 , 52.01 , 47.99 , 5.82 ,, 4.55 , 5.23 , 38.04 , 1.98 , 47.99 ,(100.00), 36.76 ,(76.60), 11.23 ,(23.40)
  6~未滿10年, 766 , 100.00 , 58.54 , 41.46 , 4.66 ,, 4.19 , 4.90 , 31.64 , 1.86 , 41.46 ,(100.00), 27.39 ,(66.06), 14.07 ,(33.94)
  10年及以上, 211 , 100.00 , 63.65 , 36.35 , 3.11 ,, 1.36 , 6.14 , 26.81 , 2.21 , 36.35 ,(100.00), 26.07 ,(71.71), 10.28 ,(28.29)
  每月工作收入別  ,,,,,,,,,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 53.47 , 46.53 , 7.60 ,, 3.44 , 8.76 , 35.34 , 0.58 , 46.53 ,(100.00), 33.94 ,(72.93), 12.60 ,(27.07)
"  17,280 ~未滿2萬元", 309 , 100.00 , 57.76 , 42.24 , 4.15 ,, 3.06 , 10.68 , 30.05 , 3.19 , 42.24 ,(100.00), 28.74 ,(68.05), 13.49 ,(31.95)
  2萬~未滿2萬5千元, 792 , 100.00 , 59.27 , 40.73 , 7.87 ,, 3.15 , 6.79 , 28.44 , 1.96 , 40.73 ,(100.00), 28.48 ,(69.92), 12.25 ,(30.08)
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 56.18 , 43.82 , 3.98 ,, 4.28 , 5.03 , 34.63 , 2.11 , 43.82 ,(100.00), 31.52 ,(71.93), 12.30 ,(28.07)
  3萬~未滿3萬元5千元, 785 , 100.00 , 46.71 , 53.29 , 3.29 ,, 5.82 , 5.50 , 45.52 , 0.99 , 53.29 ,(100.00), 39.60 ,(74.31), 13.69 ,(25.69)
  3萬5千元~未滿4萬元, 357 , 100.00 , 43.88 , 56.12 , 6.38 ,, 8.29 , 6.72 , 44.65 , 2.39 , 56.12 ,(100.00), 44.19 ,(78.73), 11.94 ,(21.27)
  4萬~未滿4萬5千元, 204 , 100.00 , 39.62 , 60.38 , 3.07 ,, 5.64 , 9.91 , 45.05 , 5.20 , 60.38 ,(100.00), 53.84 ,(89.17), 6.54 ,(10.83)
  4萬5千元~未滿5萬元, 100 , 100.00 , 40.51 , 59.49 , 3.85 ,, 8.54 , 12.10 , 46.65 , - , 59.49 ,(100.00), 50.00 ,(84.05), 9.49 ,(15.95)
  5萬元以上, 107 , 100.00 , 44.30 , 55.70 , 1.87 ,, 4.92 , 4.22 , 52.99 , 0.34 , 55.70 ,(100.00), 45.70 ,(82.04), 10.00 ,(17.96)
說明：規劃方式可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,,,
